,housing_units,consumer_sentiment,ppi_building,mortgage_rate,ppi_trans,newly_owned_houses,working_age_pop,unemp_rate,pop_growth,gdp_data,target_var,cluster_labels
138,133593.0,85.1,140.6,7.3,126.3,880.0,202267583.333333,7.3,0.692860276624581,16594.743,155.60399999999998,0
139,133661.66666666666,82.1,138.0,7.2,126.5,917.0,202267583.333333,7.2,0.692860276624581,16634.082,156.965,0
140,133730.33333333334,77.5,139.0,7.2,125.1,850.0,202267583.333333,7.2,0.692860276624581,16673.421,158.227,0
141,133799.0,73.2,137.5,7.2,125.9,925.0,202267583.333333,7.2,0.692860276624581,16712.76,159.24200000000002,0
142,133867.66666666666,75.1,135.8,6.9,125.4,1100.0,202267583.333333,6.9,0.692860276624581,16693.255666666664,160.07399999999998,0
143,133936.33333333334,82.5,136.0,6.7,126.8,1002.0,202267583.333333,6.7,0.692860276624581,16673.751333333334,160.993,0
144,134005.0,81.2,136.0,6.6,126.9,888.0,202987250.0,6.6,0.733361519937424,16654.247,161.92700000000002,0
145,134074.0,81.6,135.6,6.7,127.1,944.0,202987250.0,6.7,0.733361519937424,16725.534333333333,162.52700000000002,0
146,134143.0,80.0,133.8,6.7,128.4,970.0,202987250.0,6.7,0.733361519937424,16796.821666666667,163.088,0
147,134212.0,84.1,133.9,6.2,129.0,1043.0,202987250.0,6.2,0.733361519937424,16868.109,163.395,0
148,134282.33333333334,81.9,134.1,6.3,129.0,1007.0,202987250.0,6.3,0.733361519937424,16933.611333333334,163.662,0
149,134352.66666666666,82.5,134.6,6.1,129.7,911.0,202987250.0,6.1,0.733361519937424,16999.113666666668,164.062,0
150,134423.0,81.8,136.0,6.2,129.8,1085.0,202987250.0,6.2,0.733361519937424,17064.616,164.576,0
151,134496.0,82.5,135.7,6.1,130.0,984.0,202987250.0,6.1,0.733361519937424,17090.15566666667,165.21599999999998,0
152,134569.0,84.6,137.2,5.9,128.4,1023.0,202987250.0,5.9,0.733361519937424,17115.695333333333,165.907,1
