DATE,LREM64TTUSM156S
2017-07-01,70.1776001476887
2017-08-01,70.1500729303963
2017-09-01,70.4770872852692
2017-10-01,70.2633470011261
2017-11-01,70.2997152420944
2017-12-01,70.2807222461999
2018-01-01,70.3181800753163
2018-02-01,70.6025342912855
2018-03-01,70.5527779588143
2018-04-01,70.5720380100601
2018-05-01,70.7350849329814
2018-06-01,70.6978812080135
2018-07-01,70.8678685681902
2018-08-01,70.5678662709577
2018-09-01,70.767103038957
2018-10-01,70.9298443900792
2018-11-01,70.9944431591298
2018-12-01,70.995031134178
2019-01-01,71.0142554508684
2019-02-01,71.0435097475702
2019-03-01,71.0702637587111
2019-04-01,71.1362472830823
2019-05-01,71.1453122391529
2019-06-01,71.2438915875506
2019-07-01,71.2687803636565
2019-08-01,71.4198849208562
2019-09-01,71.7197521185657
